fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2020-12-31,USD,13744341000,7285219000,3254236000,3853639000,1075983000,1411565000,6459122000,955845000,None,3056254000,1862042000,1194212000,None,None,599403000,383384000,970520000,10606167000,2498023000,412324000,55995000,300754000,299748000,8108144000,1211655000,5786552000,1006000,None,299748000,120185000,1109937000,3138174000,None,300495000,97746000,390985837
2020-09-30,USD,12941266000,6680206000,1877398000,2677398000,1434843000,1606479000,6261060000,933990000,None,3024607000,1851093000,1173514000,9685000,None,800000000,408809000,917342000,9996028000,2084532000,450109000,44010000,14364000,13237000,7911496000,1129840000,5679440000,1127000,None,13237000,114356000,1102216000,2945238000,None,-44953000,97491000,389964718
2020-06-30,USD,12479045000,6261137000,2145111000,2845111000,1402858000,934984000,6217908000,957309000,None,3018370000,1855764000,1162606000,52978000,None,700000000,513049000,887921000,9566447000,1715463000,348932000,45622000,20281000,19256000,7850984000,1104500000,5609792000,1025000,None,19256000,91283000,1136692000,2912598000,None,-298088000,97410000,389641245
2020-03-31,USD,11133251000,5027016000,1369028000,1369028000,1293912000,1308051000,6106235000,954406000,None,3010564000,1854545000,1156019000,77441000,143920000,None,444886000,867751000,7775917000,3023884000,407021000,37498000,1229830000,1228812000,4752033000,1373229000,2608269000,1018000,None,1228812000,126781000,1123113000,3357334000,None,7309000,97203000,388812158
2019-12-31,USD,10814262000,4155698000,540029000,540029000,1254460000,1539923000,6462262000,867205000,None,3377738000,1887789000,1489949000,23685000,None,None,356882000,958253000,6246672000,1962092000,389749000,54260000,60678000,56001000,4284580000,24959000,2085529000,60678000,None,56001000,68910000,1128834000,4567590000,None,1182228000,98632000,394528067
2019-09-30,USD,11270355000,4775207000,469912000,469912000,1590027000,1881374000,6307491000,832237000,None,3337623000,1857868000,1479755000,78179000,None,None,391678000,905993000,6622736000,2404338000,483207000,39346000,489307000,484321000,4218398000,26278000,2064644000,489307000,None,484321000,50634000,1106791000,4647619000,None,1405988000,99716000,398865790
2019-06-30,USD,10401964000,3990855000,560882000,560882000,1381513000,1211347000,6220849000,826570000,None,3412019000,1917517000,1494502000,69050000,None,None,405205000,735275000,6250350000,1947145000,507575000,42196000,72726000,67658000,4303205000,27586000,2099249000,72726000,None,67658000,63443000,1139512000,4151614000,None,931134000,99481000,397922120
2019-03-31,USD,10356785000,4673457000,402226000,402226000,1173102000,1372625000,6014393000,876093000,None,3779161000,1907457000,1491684000,83568000,219704000,None,425612000,768482000,6058269000,2661604000,489600000,28801000,670318000,659060000,4457002000,None,2115884000,5263000,None,656939000,18590000,1234881000,4298516000,None,1179601000,99206000,396824662
2018-12-31,USD,10284310000,4612091000,451978000,451978000,1401621000,1566202000,5198180000,902665000,None,3812121000,2002906000,1536544000,81637000,None,None,391800000,756065000,5983686000,2563047000,536406000,37875000,683467000,674676000,3420639000,None,2135240000,5576000,None,674676000,53340000,1239503000,4300624000,None,1258327000,98868000,395472173
2018-09-30,USD,11130425000,5417954000,266788000,266788000,1723057000,1961274000,5230617000,893811000,None,3846913000,2029901000,1543143000,43365000,None,3919000,422287000,763762000,6950869000,3508696000,603575000,29559000,1576401000,1564899000,3442173000,None,2150595000,5885000,None,1564899000,11358000,1246962000,4179556000,None,1147787000,99290000,397161808
2018-06-30,USD,10191754000,4330147000,392175000,392175000,1521659000,1222938000,5373950000,875338000,None,4000438000,2129013000,1594986000,23113000,None,4067000,401515000,774613000,6460638000,2995556000,565943000,27105000,1323112000,1311861000,3465082000,None,2156627000,6189000,None,1311861000,104105000,1260681000,3731116000,None,825788000,98877000,395509138
