fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2020-12-31,USD,318307000,2972141000,2653834000,1345024000,411999000,1214518000,None,1315577000,2539000,-31776000,-31776000,0,2972141000,6484000,None,65727000,406288000,59048000,34315000,327659000,310935000,411999000,477726000,347240000
2020-09-30,USD,293060000,2607024000,2313964000,1282406000,319948000,1005970000,None,1031558000,3176000,-30931000,-30931000,0,2607024000,4644000,None,75827000,307137000,50415000,34107000,243246000,194605000,319948000,395775000,256722000
2020-06-30,USD,-328485000,1076293000,1404778000,506951000,-246809000,816151000,None,905972000,1313000,-27949000,1313000,0,1076293000,-38187000,None,63026000,-320816000,-35203000,29262000,-277742000,-252196000,-246809000,-183783000,-285613000
2020-03-31,USD,-27039000,2102421000,2129460000,986266000,-256761000,1049693000,None,1670252000,3933000,-71368000,19867000,91235000,2045549000,-50289000,None,72972000,-390381000,93395000,86574000,-483086000,-519362000,-256761000,-183789000,-483776000
2019-12-31,USD,441749000,3155723000,2713974000,1351653000,540039000,1264031000,None,1365553000,4966000,-253000,-16814000,253000,3155723000,-22144000,None,69488000,543979000,78976000,22303000,421582000,500356000,540039000,609527000,465003000
2019-09-30,USD,547010000,3179758000,2632748000,1456317000,548562000,1174879000,None,1176431000,4424000,-270000,-15827000,270000,3179758000,-1771000,None,62923000,554029000,-94972000,20810000,625377000,585662000,548562000,611485000,649001000
2019-06-30,USD,29384000,2050654000,2021270000,896284000,95965000,1058405000,None,1126840000,6544000,-284000,-15583000,284000,2050654000,5554000,None,62236000,69884000,20663000,22127000,65273000,70478000,95965000,158201000,49221000
2019-03-31,USD,8510456000,2357409000,1789932000,640885000,126360000,1030488000,None,1763775000,8262000,-12181000,11855000,-7942979000,1673203000,-6717000,None,63680000,133710000,4906000,24428000,75621000,113294000,126360000,190040000,128804000
2018-12-31,USD,-2774054000,2983297000,2770344000,1464761000,476543000,1242131000,None,1313992000,3116000,None,None,2987007000,3224002000,-1027000,None,62790000,548962000,85453000,28336000,374833000,439860000,476543000,539333000,463509000
2018-09-30,USD,3001760000,3001760000,2675704000,1545391000,510736000,1129013000,None,1130313000,1484000,None,None,0,3219390000,-31970000,None,76363000,577192000,70071000,28305000,390563000,526283000,510736000,587099000,507121000
2018-06-30,USD,1924421000,1924421000,2083774000,1005289000,76543000,1018747000,None,1080933000,2146000,None,None,0,2137135000,-19425000,None,52896000,167815000,7457000,26999000,29409000,142310000,76543000,129439000,160358000
2018-03-31,USD,75986000,2181546000,2105560000,1008641000,147552000,1025353000,None,1239124000,1533000,None,None,0,2185946000,6346000,None,59594000,255134000,2341000,24393000,128975000,314903000,147552000,207146000,252793000
2017-12-31,USD,-3272482000,3649283000,3247577000,1769819000,484619000,1394845000,None,1512438000,4423000,None,None,3674188000,3624378000,-1902000,None,82913000,442879000,533148000,26971000,-72979000,-101513000,484619000,567532000,-90269000
2017-09-30,USD,408267000,3392934000,3100551000,1689041000,575527000,1128366000,None,1445120000,4571000,None,None,-115884000,250000,-1913000,None,75682000,463397000,77257000,27108000,473820000,401841000,575527000,651209000,386140000
2017-06-30,USD,2268620000,2268620000,2174414000,1142476000,159676000,966468000,None,1038502000,3583000,None,None,0,2265849000,-3217000,None,65470000,138649000,28760000,24190000,107092000,167332000,159676000,225146000,109889000
2017-03-31,USD,2500340000,2500340000,2356641000,1331220000,293207000,1003518000,None,1151063000,3518000,None,None,0,-2415000,-67000,None,66438000,265703000,56540000,23706000,213276000,262586000,293207000,359645000,209163000
2016-12-31,USD,284951000,3037543000,2458597000,1360905000,282426000,962007000,None,1287478000,2717000,None,None,293995000,11016447000,-86892000,None,76086000,281667000,17334000,24281000,238083000,220890000,282426000,358512000,264333000
2016-09-30,USD,540228000,3218833000,2787488000,1693071000,594849000,1026398000,None,1163230000,2215000,None,None,-108883000,-3801000,-1097000,None,68019000,597847000,99358000,24783000,474069000,501924000,594849000,662868000,498489000
2016-06-30,USD,2231203000,2231203000,2126044000,1185247000,186252000,940797000,None,1007073000,2236000,None,None,0,None,1501000,None,69442000,89051000,38036000,23630000,130450000,-155000,186252000,255694000,51015000
2016-03-31,USD,2538568000,2538568000,2390650000,1350700000,304733000,971920000,None,1120572000,2008000,None,None,0,None,1292000,None,68030000,311403000,51134000,22028000,236252000,353206000,304733000,372763000,260269000
