1. open,2. high,3. low,4. close,5. volume
78.3500,78.3500,78.3500,78.3500,200
78.3500,78.3500,78.3500,78.3500,400
78.3500,78.3500,78.3500,78.3500,69531
78.2000,78.4000,78.1300,78.3500,373202
77.9600,78.4400,77.9550,78.1900,154442
78.1400,78.1700,77.8600,77.9700,107643
78.2500,78.4500,78.0850,78.1250,97311
78.4100,78.4600,78.1600,78.2500,87781
78.0100,78.8200,77.9500,78.4100,176488
77.6150,78.4000,77.4600,78.0000,214304
77.0900,77.8100,77.0900,77.5900,104252
77.4300,77.4600,77.0500,77.0700,66773
77.7500,77.7500,77.4200,77.4400,68495
78.0650,78.1550,77.7000,77.7400,98490
78.1600,78.1700,77.9000,78.0600,120106
77.7400,78.1600,77.7350,78.1600,96095
77.4000,77.7500,77.4000,77.7499,118098
77.4650,77.5000,77.3100,77.4100,78764
77.2300,77.5200,77.2250,77.4697,86156
76.9050,77.3400,76.9050,77.2200,157483
76.9500,77.1000,76.8600,76.9050,115615
76.9972,77.0300,76.7850,76.9500,106765
76.3900,77.0100,76.3750,77.0000,101874
76.3850,76.5400,76.2200,76.3800,98188
76.6300,76.8550,76.3450,76.3900,101501
75.9600,76.6900,75.8500,76.6450,123670
75.7600,76.0900,75.5500,75.9800,99600
76.2200,76.5200,75.6600,75.7400,281524
75.9000,76.6100,75.6150,76.2600,198795
75.8858,75.8858,75.8858,75.8858,617
75.9700,75.9700,75.9200,75.9200,2182
76.2500,76.2500,76.2500,76.2500,400
75.9200,75.9200,75.9200,75.9200,47618
76.1800,76.3050,75.7600,75.8600,663743
76.6100,76.6600,76.1700,76.1700,203181
76.5000,76.7200,76.4700,76.6100,170019
76.4200,76.6500,76.3500,76.4800,397431
76.1800,76.5000,76.1400,76.4200,126813
76.1800,76.4400,76.0900,76.1600,83449
76.3400,76.5400,76.1200,76.2000,64446
76.6700,76.8300,76.3400,76.3500,111837
76.3900,76.7300,76.3800,76.6850,94633
76.5600,76.5600,76.3200,76.4200,68205
76.4300,76.6250,76.4300,76.5600,65377
76.4400,76.7500,76.4100,76.4300,86334
76.5000,76.6900,76.4200,76.4450,75970
76.6200,76.7000,76.4650,76.4900,98274
76.6850,76.7200,76.5700,76.6100,91652
76.7500,76.8000,76.6000,76.6850,81422
76.5700,76.8350,76.4500,76.7450,83162
76.4225,76.7100,76.4200,76.5700,115939
76.6300,76.8200,76.4150,76.4500,259487
76.8300,76.9050,76.5500,76.6450,110166
77.2600,77.4900,76.8100,76.8110,187248
77.0050,77.4800,76.8200,77.2600,152750
77.5300,77.5300,76.9100,77.0000,132760
78.0600,78.1600,77.5100,77.5300,107572
78.7800,78.7800,77.9600,78.0600,171755
79.8900,79.9500,78.5300,78.7700,174340
79.7700,79.7700,79.7700,79.7700,24611
79.6300,79.8300,79.5450,79.7700,378874
79.4050,79.6300,79.2900,79.6200,136790
79.2900,79.4700,79.1300,79.4000,98549
79.4200,79.4700,79.2400,79.2800,84256
79.6500,79.6600,79.2800,79.4300,87331
79.9500,80.0000,79.6200,79.6600,97999
79.6900,79.9500,79.6100,79.9500,133277
79.7800,79.8600,79.6900,79.6950,83158
79.6800,79.7900,79.6150,79.7700,80435
79.6000,79.7950,79.6000,79.6800,96767
79.5400,79.6750,79.4600,79.6100,64931
79.4400,79.6000,79.4100,79.5500,72788
79.4700,79.7900,79.4000,79.4200,331825
79.3700,79.5190,79.2500,79.4600,79195
79.5200,79.5500,79.1950,79.3650,104026
79.4000,79.7500,79.3800,79.5300,109675
79.3000,79.4600,79.2800,79.3800,80949
79.0600,79.3100,78.9000,79.3100,96597
78.3500,79.1000,78.3300,79.0400,114447
78.1000,78.4600,78.0500,78.3200,85111
78.6800,78.6900,78.1150,78.1200,68843
78.5000,78.7300,78.4300,78.6800,73504
78.3800,78.6500,78.1550,78.5300,83106
78.4100,78.5199,78.1200,78.4000,84146
79.1800,79.3300,78.3500,78.4400,77762
78.8300,79.6500,78.7400,79.1700,182390
79.1500,79.1500,79.1500,79.1500,1000
79.0900,79.0900,79.0900,79.0900,49388
79.0100,79.1600,78.7900,79.1100,357523
79.0500,79.1950,78.9600,79.0050,126219
79.0300,79.2400,79.0300,79.0500,95509
79.1350,79.1500,78.9100,79.0200,119907
78.9800,79.1400,78.9400,79.1400,112232
79.2700,79.3400,78.9800,78.9800,76762
79.2300,79.3900,79.0900,79.2700,71905
78.9300,79.3200,78.9300,79.2400,79917
78.5200,78.9500,78.5100,78.9300,82072
78.7800,78.8950,78.4900,78.5300,93986
78.4800,78.7800,78.3800,78.7800,111042
78.4450,78.8100,78.4300,78.4900,84253
78.9150,79.0400,78.4200,78.4500,84337
78.8100,79.0250,78.7400,78.9199,162306
79.0600,79.0800,78.8100,78.8100,154484
79.1200,79.1300,79.0000,79.0800,65878
79.0200,79.1500,78.9500,79.1000,50124
78.9800,79.1300,78.8700,79.0150,73359
79.1950,79.2600,78.8300,78.9800,94742
79.4400,79.5600,79.1400,79.2100,73384
79.4150,79.5300,79.3400,79.4600,91351
79.2900,79.5000,79.2200,79.4150,109061
79.5400,79.6100,79.1700,79.2800,67876
79.9400,80.1000,79.4700,79.5700,80886
80.0500,80.1500,79.8500,79.9700,90237
79.8500,80.1100,79.5200,80.0500,154368
79.5000,79.5000,79.5000,79.5000,20915
79.3800,79.5200,79.3100,79.5000,439979
79.2200,79.4400,79.1600,79.3800,165057
79.2300,79.3400,79.2100,79.2300,96238
79.3800,79.4850,79.1700,79.2350,92644
79.5800,79.6000,79.3300,79.3800,104996
79.5400,79.7200,79.4200,79.5600,146000
79.4000,79.6900,79.3900,79.5400,172871
79.3500,79.5300,79.3443,79.4200,80164
79.3400,79.5300,79.2900,79.3483,81072
79.5100,79.6300,79.2700,79.3200,89525
79.4983,79.5200,79.4200,79.5000,71350
79.3800,79.5500,79.3300,79.5000,105818
79.5000,79.5200,79.2200,79.3800,62850
79.6700,79.6700,79.4800,79.5000,70841
79.5000,79.6600,79.4800,79.6600,57722
79.3900,79.4700,79.2450,79.4700,88166
79.4700,79.5500,79.3500,79.3800,78747
79.6700,79.8100,79.3500,79.4400,65245
79.8500,79.9500,79.6200,79.6700,115366
79.4400,79.9800,79.4200,79.8300,99584
78.5900,79.6200,78.5600,79.4400,215668
78.4100,78.5900,78.2500,78.5800,114700
78.3800,78.4300,78.2200,78.4300,88157
78.9700,78.9900,78.2500,78.3900,93744
78.8900,79.0950,78.7800,78.9900,131512
79.7700,79.9100,78.6700,78.8800,231227
79.6300,79.6300,79.6300,79.6300,230
79.6700,79.6700,79.6000,79.6700,1200
79.6700,79.6700,79.6700,79.6700,155
79.6700,79.6700,79.6700,79.6700,84789
79.7000,79.9700,79.6300,79.7100,491587
79.9400,79.9600,79.6800,79.7000,218460
80.1200,80.1900,79.9500,79.9500,138704
80.2300,80.3400,80.0400,80.1100,132829
80.1400,80.3500,80.0800,80.2150,108986
80.2000,80.2500,80.1000,80.1500,104289
80.0900,80.2600,79.9900,80.2000,124500
80.0700,80.1400,79.9000,80.0800,64877
80.0600,80.1300,79.9400,80.0900,56949
80.1700,80.2300,80.0150,80.0800,72079
80.1300,80.2000,80.0500,80.1600,61228
79.9600,80.1200,79.7300,80.1200,81973
79.8100,80.1100,79.8100,79.9500,71066
79.9000,79.9500,79.6050,79.8000,78930
80.0100,80.1700,79.7800,79.9000,87825
79.8200,80.0700,79.7900,80.0300,77366
79.6500,79.9900,79.6400,79.8200,79265
79.6950,79.8900,79.5635,79.6800,87118
80.3100,80.3200,79.6800,79.7250,84958
80.4950,80.6300,80.1100,80.3250,83593
80.5600,80.6390,80.3600,80.4900,110240
80.0700,80.6000,79.9450,80.5700,83365
80.0900,80.3200,80.0500,80.0700,53031
80.3400,80.5700,80.0400,80.0700,52316
80.6000,80.7800,80.2550,80.3500,50634
79.9200,80.8100,79.5600,80.5500,121988
79.3500,79.6700,79.3500,79.6700,504
79.5000,79.5000,79.5000,79.5000,51710
79.9100,79.9700,79.4900,79.5100,371138
79.9900,80.0300,79.7600,79.9100,158550
80.0000,80.1000,79.8200,79.9900,115234
79.8400,80.0950,79.8200,80.0000,64897
80.2300,80.2400,79.7300,79.8400,70991
80.4700,80.5399,80.2400,80.2400,57796
80.6000,80.6650,80.3900,80.4500,71069
80.5900,80.6400,80.5000,80.6000,50143
80.5400,80.6800,80.5000,80.5300,47746
80.4300,80.5398,80.3450,80.5200,52409
80.2800,80.4400,80.2000,80.4400,61945
80.2700,80.3900,80.1800,80.3000,51051
80.4400,80.4600,80.1500,80.2600,41274
80.6700,80.7200,80.4550,80.4550,50071
80.5800,80.7000,80.5500,80.6800,66256
80.7700,80.7700,80.4200,80.5700,62483
80.7500,80.7700,80.5300,80.7400,83766
80.8400,80.8600,80.5900,80.7500,58390
80.8000,81.0300,80.6700,80.8200,93860
80.8100,81.1100,80.6600,80.8000,98871
80.6300,80.8200,80.5200,80.8200,94302
80.4100,80.7800,80.2700,80.5600,63248
80.2100,80.5550,80.1300,80.3500,72075
80.4400,80.6350,80.1600,80.2000,61030
80.7600,81.0250,80.2950,80.4600,61372
81.1400,81.3050,80.2025,80.7910,126068
81.2700,81.2700,80.8300,81.1400,1815
80.5100,80.5100,80.5100,80.5100,150
80.9300,81.4800,80.9300,81.4800,1130
81.5971,81.5971,81.5971,81.5971,160
81.0008,81.0008,81.0008,81.0008,212270
81.3387,81.3784,80.9411,81.0008,397570
81.0008,81.4182,81.0008,81.3287,185357
81.1498,81.1995,80.9411,80.9858,127324
81.3188,81.3188,80.8715,81.1796,66802
81.1498,81.3540,81.0703,81.3287,47650
81.4579,81.5374,81.1399,81.1498,49098
81.4132,81.6170,81.2890,81.4579,60741
81.0306,81.4778,81.0306,81.3784,60094
81.3983,81.4778,81.0256,81.0405,57946
81.5573,81.5971,81.3387,81.3983,44100
81.4679,81.6567,81.4579,81.5275,66130
81.2194,81.6170,81.2194,81.4976,149968
81.1548,81.3685,81.1200,81.2293,142931
81.3784,81.5772,81.1498,81.1697,113549
81.1796,81.5076,81.1796,81.3585,62846
80.9610,81.1896,80.9411,81.1598,65746
80.9312,81.1697,80.9312,80.9809,42851
81.5673,81.5826,80.9120,80.9709,75151
81.7611,81.9549,81.4579,81.5573,85021
81.8555,82.2630,81.7511,81.7511,121091
82.1735,82.1835,81.7760,81.8356,112702
81.6567,82.1934,81.4977,82.1338,112161
81.4331,81.7163,81.2691,81.5871,117507
80.5138,81.3387,80.4243,81.3188,131754
80.8417,80.9511,80.1162,80.3647,92281
81.6070,81.6070,80.0963,80.8219,285066
79.4702,81.1300,79.4702,81.1300,3294
78.9136,78.9136,78.9136,78.9136,1500
